effect,level,source,SI_SDR,SI_SAR_like,RMSE
bitcrush,1,bass,29.287329559667505,29.292447387042237,0.001481844504717258
bitcrush,1,drums,20.72993468789528,20.766504863363615,0.004729020241065618
bitcrush,1,other,17.41917253649173,17.49715045487168,0.005768535805629723
bitcrush,1,vocals,9.076514349253719,9.58306871493953,0.012870390661112424
bitcrush,2,bass,29.264722185419366,29.26986866520323,0.0015068097186430721
bitcrush,2,drums,20.709317254897325,20.746058001457104,0.004731726103274419
bitcrush,2,other,17.411647537176982,17.48975943492373,0.005846624794477154
bitcrush,2,vocals,9.07722555226789,9.583699649630368,0.01287378772070172
bitcrush,4,bass,23.182707630493198,23.203538451062954,0.0025766929836552556
bitcrush,4,drums,18.700569846780176,18.758772778466692,0.005667363614630199
bitcrush,4,other,15.29256636817067,15.419104184044425,0.00814758809589812
bitcrush,4,vocals,8.704347692489982,9.253458088834805,0.013605749790083345
compression,1,bass,26.841169450999764,26.850148979108944,0.0017389722890341955
compression,1,drums,28.442100484791055,28.448312952599416,0.001852613334380027
compression,1,other,20.869671349803376,20.905090665432553,0.0043610442820368935
compression,1,vocals,16.08989377372835,16.19547532474172,0.012128512488181711
compression,2,bass,20.59979055673829,20.637478452028418,0.0039213383376291
compression,2,drums,20.744058978030807,20.780513070686805,0.004476621289782499
compression,2,other,13.120210227988391,13.327046436369265,0.009953646974901928
compression,2,vocals,6.197211779785352,7.1315667586162705,0.028476600542497142
compression,4,bass,18.735291933910155,18.79302094938069,0.005069084098930107
compression,4,drums,18.488409721360874,18.549490980550424,0.006197344424342395
compression,4,other,11.01530428831551,11.34613783091533,0.012582883116466076
compression,4,vocals,1.188073181677485,3.644837735704098,0.03482756435798571
delay,1,bass,22.647134289413565,22.670680518556114,0.003100893568269116
delay,1,drums,22.929676997123053,22.95175041375867,0.0039898858592376735
delay,1,other,14.88648455821169,15.025329406656235,0.007510007817179106
delay,1,vocals,8.350508156017792,8.943116200256954,0.018249643615149296
delay,2,bass,18.869354724829037,18.925553238604458,0.005027485475800831
delay,2,drums,19.262140383005345,19.313313708400614,0.005726680232265777
delay,2,other,11.00146913600372,11.333319846122095,0.01230166680398432
delay,2,vocals,5.355523596610292,6.466037520537498,0.025555902067552268
delay,4,bass,14.968019996923935,15.10425684692321,0.007452543332161015
delay,4,drums,14.818596833239216,14.959483932119976,0.00888749559609003
delay,4,other,6.603247694146315,7.462335684810137,0.020394080784022266
delay,4,vocals,2.5125618888497026,4.44583694328014,0.03459806644580404
reverb,1,bass,20.494395801684835,20.533229623128605,0.0036026881909576843
reverb,1,drums,23.882192957744675,23.899926669611993,0.0035226017542827064
reverb,1,other,16.82976536909558,16.919342555348656,0.006520923445713259
reverb,1,vocals,11.642699758602125,11.930473195056074,0.01314358563033474
reverb,2,bass,13.362864752348809,13.55880995215197,0.009284089313733238
reverb,2,drums,16.383027716125746,16.48179675208621,0.0073933761137854334
reverb,2,other,8.940698114388157,9.462439610400443,0.015486288657837475
reverb,2,vocals,-0.18422019094107794,2.9191685542114847,0.03491930978510974
reverb,4,bass,4.750410319375181,6.012957687094264,0.02892862726394929
reverb,4,drums,9.551470004377148,10.00954034222239,0.016749005058236732
reverb,4,other,1.5288882266236175,3.841816257484803,0.032670539841305496
reverb,4,vocals,-19.99527329066131,0.043261626503794566,0.12255112057436571
