model,song,pair,component,SI_SDR,SI_SAR_like,RMSE
demucs,AM Contra - Heart Peripheral,accompaniment,non_vocal,17.183002767029723,17.265295765621083,0.014142232440282579
demucs,Al James - Schoolboy Facination,accompaniment,non_vocal,8.783363606345677,9.323099968472693,0.02602416162817208
demucs,Angels In Amplifiers - I'm Alright,accompaniment,non_vocal,14.25282555074456,14.41295480938182,0.016922465078543343
demucs,Arise - Run Run Run,accompaniment,non_vocal,19.864120695011167,19.908700824806036,0.014245065188267307
demucs,BKS - Bulldozer,accompaniment,non_vocal,18.39805150504073,18.460404565925288,0.012411259721920477
demucs,BKS - Too Much,accompaniment,non_vocal,17.258627150205076,17.339512718465333,0.011989197037040671
demucs,Ben Carrigan - We'll Talk About It All Tonight,accompaniment,non_vocal,13.371170523321421,13.566542398539083,0.015570822863928472
demucs,Bobby Nobody - Stitch Up,accompaniment,non_vocal,15.56156491369713,15.680596615149087,0.013540675027642298
demucs,Buitraker - Revo X,accompaniment,non_vocal,15.402446796299536,15.525857963912873,0.018882063537208005
demucs,Carlos Gonzalez - A Place For Us,accompaniment,non_vocal,9.056432360345774,9.565128042859731,0.024741685330560117
demucs,Cristina Vane - So Easy,accompaniment,non_vocal,15.333310216759386,15.458673411743398,0.016113196674592007
demucs,Detsky Sad - Walkie Talkie,accompaniment,non_vocal,12.361135079593106,12.606243232802656,0.025659389833925544
demucs,Enda Reilly - Cur An Long Ag Seol,accompaniment,non_vocal,15.661990602637786,15.778337529791886,0.01648847333286884
demucs,Forkupines - Semantics,accompaniment,non_vocal,17.80587774840351,17.877265264539794,0.015719902524565812
demucs,Georgia Wonder - Siren,accompaniment,non_vocal,13.376286915072892,13.571433851164462,0.021047736108177995
demucs,Girls Under Glass - We Feel Alright,accompaniment,non_vocal,16.87730339987461,16.965537165397798,0.01605720843837271
demucs,Hollow Ground - Ill Fate,accompaniment,non_vocal,18.313187901839413,18.37676239678718,0.0159913025355058
demucs,James Elder & Mark M Thompson - The English Actor,accompaniment,non_vocal,11.566690502158089,11.859374434114223,0.021234232811428645
demucs,Juliet's Rescue - Heartbeats,accompaniment,non_vocal,18.0304477250087,18.09826560852634,0.013525170218991814
demucs,Little Chicago's Finest - My Own,accompaniment,non_vocal,16.13605018441708,16.24050918683445,0.007068624134572805
demucs,Louis Cressy Band - Good Time,accompaniment,non_vocal,16.306430945614753,16.406917327669312,0.011725603773641626
demucs,Lyndsey Ollard - Catching Up,accompaniment,non_vocal,11.153555691499758,11.474395320400205,0.012608915934823783
demucs,M.E.R.C. Music - Knockout,accompaniment,non_vocal,13.259911457617047,13.460237928801583,0.015405459113105913
demucs,Moosmusic - Big Dummy Shake,accompaniment,non_vocal,16.364303542329907,16.46347483106031,0.019114301789022615
demucs,Motor Tapes - Shore,accompaniment,non_vocal,12.741499233986078,12.966576646961858,0.02032389178802333
demucs,Mu - Too Bright,accompaniment,non_vocal,15.721760982901912,15.836538466706083,0.014899445367481893
demucs,Nerve 9 - Pray For The Rain,accompaniment,non_vocal,12.513933041146041,12.750794345870256,0.01951765848229912
demucs,PR - Happy Daze,accompaniment,non_vocal,26.63299027317807,26.64240947795303,0.030359594747303962
