model,song,condition,effect,level,sdr_wet,sdr_dry
demucs,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l1,bitcrush,1,10.761583915402198,8.673984646997754
spleeter,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l1,bitcrush,1,8.393542785329442,7.637831579633534
demucs,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l2,bitcrush,2,10.748793760937914,8.672902628927265
spleeter,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l2,bitcrush,2,8.392924286840096,7.637665148756156
demucs,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l3,bitcrush,3,10.72228826665951,8.667952286472225
spleeter,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l3,bitcrush,3,8.38482475926657,7.643650915810865
demucs,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l4,bitcrush,4,10.454373624626655,8.611461017678554
spleeter,Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l4,bitcrush,4,8.21983014836191,7.603099164383616
demucs,Angels_In_Amplifiers_-_I'm_Alright,compression_l1,compression,1,10.66129226212838,10.74033620307539
spleeter,Angels_In_Amplifiers_-_I'm_Alright,compression_l1,compression,1,8.486938871904005,8.843979345250425
demucs,Angels_In_Amplifiers_-_I'm_Alright,compression_l2,compression,2,10.008698015974925,8.367670814224995
spleeter,Angels_In_Amplifiers_-_I'm_Alright,compression_l2,compression,2,7.760258554408824,7.435654660012899
demucs,Angels_In_Amplifiers_-_I'm_Alright,compression_l3,compression,3,9.56951369645496,6.633566583151084
spleeter,Angels_In_Amplifiers_-_I'm_Alright,compression_l3,compression,3,7.194607994342142,6.169843632836183
demucs,Angels_In_Amplifiers_-_I'm_Alright,compression_l4,compression,4,9.338302623197293,5.877646244701392
spleeter,Angels_In_Amplifiers_-_I'm_Alright,compression_l4,compression,4,6.905371774890923,5.491543362187547
demucs,Angels_In_Amplifiers_-_I'm_Alright,delay_l1,delay,1,10.155237566404107,7.004991931765906
spleeter,Angels_In_Amplifiers_-_I'm_Alright,delay_l1,delay,1,8.395514318418575,5.9483066138989535
demucs,Angels_In_Amplifiers_-_I'm_Alright,delay_l2,delay,2,9.371906088790734,5.220947188333229
spleeter,Angels_In_Amplifiers_-_I'm_Alright,delay_l2,delay,2,7.787626197517254,4.522183280666462
demucs,Angels_In_Amplifiers_-_I'm_Alright,delay_l3,delay,3,8.48431161811976,4.27984942817995
spleeter,Angels_In_Amplifiers_-_I'm_Alright,delay_l3,delay,3,7.261310157514148,3.82007409007429
demucs,Angels_In_Amplifiers_-_I'm_Alright,delay_l4,delay,4,8.045949429293586,3.5271081189275595
spleeter,Angels_In_Amplifiers_-_I'm_Alright,delay_l4,delay,4,6.833242080632695,3.170729968743551
demucs,Angels_In_Amplifiers_-_I'm_Alright,original,original,0,11.051144311942823,11.051170983950161
spleeter,Angels_In_Amplifiers_-_I'm_Alright,original,original,0,8.828697310876674,8.828589375231346
demucs,Angels_In_Amplifiers_-_I'm_Alright,reverb_l1,reverb,1,10.300589019234629,8.795899372072252
spleeter,Angels_In_Amplifiers_-_I'm_Alright,reverb_l1,reverb,1,8.383201295304177,7.142523280960436
demucs,Angels_In_Amplifiers_-_I'm_Alright,reverb_l2,reverb,2,8.35934202481226,1.6365532969756313
spleeter,Angels_In_Amplifiers_-_I'm_Alright,reverb_l2,reverb,2,7.159936595825723,1.2340942398567363
demucs,Angels_In_Amplifiers_-_I'm_Alright,reverb_l3,reverb,3,7.775194572656653,-1.6659944729635414
spleeter,Angels_In_Amplifiers_-_I'm_Alright,reverb_l3,reverb,3,6.888751705041768,-1.7705705950416055
demucs,Angels_In_Amplifiers_-_I'm_Alright,reverb_l4,reverb,4,7.610995666801217,-2.5171078344987623
spleeter,Angels_In_Amplifiers_-_I'm_Alright,reverb_l4,reverb,4,6.918194059208117,-2.6083822045709164
demucs,Al_James_-_Schoolboy_Facination,bitcrush_l1,bitcrush,1,7.570086555047514,4.583138139034667
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l1,bitcrush,1,5.870152908091164,4.2134393995266635
demucs,Al_James_-_Schoolboy_Facination,bitcrush_l2,bitcrush,2,7.438858910624435,4.518259723634607
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l2,bitcrush,2,5.86890484392859,4.212365616787243
demucs,Al_James_-_Schoolboy_Facination,bitcrush_l3,bitcrush,3,7.423535619222679,4.512750763979656
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l3,bitcrush,3,5.865655594838356,4.211654819552505
demucs,Al_James_-_Schoolboy_Facination,bitcrush_l4,bitcrush,4,7.326802340885806,4.489462787569828
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l4,bitcrush,4,5.776228965877421,4.189455793546985
demucs,Al_James_-_Schoolboy_Facination,compression_l1,compression,1,7.708605469056144,7.483905842336202
spleeter,Al_James_-_Schoolboy_Facination,compression_l1,compression,1,6.397661173949066,6.422065095430225
demucs,Al_James_-_Schoolboy_Facination,compression_l2,compression,2,7.816109554579582,6.456414083168504
spleeter,Al_James_-_Schoolboy_Facination,compression_l2,compression,2,6.371027761450788,5.74893046502866
demucs,Al_James_-_Schoolboy_Facination,compression_l3,compression,3,7.940512472177513,5.556081429677922
spleeter,Al_James_-_Schoolboy_Facination,compression_l3,compression,3,6.325265319551891,4.9736877433594735
demucs,Al_James_-_Schoolboy_Facination,compression_l4,compression,4,8.021664439451579,5.136981024763062
spleeter,Al_James_-_Schoolboy_Facination,compression_l4,compression,4,6.0911518625486485,4.409102917809507
demucs,Al_James_-_Schoolboy_Facination,delay_l1,delay,1,7.405019438339281,5.6199155635782
spleeter,Al_James_-_Schoolboy_Facination,delay_l1,delay,1,6.191601671522752,4.7404406020755765
demucs,Al_James_-_Schoolboy_Facination,delay_l2,delay,2,7.239617301827515,4.529826270471867
spleeter,Al_James_-_Schoolboy_Facination,delay_l2,delay,2,5.8589763971684015,3.8946134026196777
demucs,Al_James_-_Schoolboy_Facination,delay_l3,delay,3,6.667101108703475,3.77091683450809
spleeter,Al_James_-_Schoolboy_Facination,delay_l3,delay,3,5.275028791575393,3.3374810326566493
demucs,Al_James_-_Schoolboy_Facination,delay_l4,delay,4,6.4075520609569345,3.223213579344624
spleeter,Al_James_-_Schoolboy_Facination,delay_l4,delay,4,4.60668704214531,2.888223949411051
demucs,Al_James_-_Schoolboy_Facination,original,original,0,7.541708411827203,7.541708411827203
spleeter,Al_James_-_Schoolboy_Facination,original,original,0,6.437862850409005,6.437862850409005
demucs,Al_James_-_Schoolboy_Facination,reverb_l1,reverb,1,6.916105706109433,6.529795998877802
spleeter,Al_James_-_Schoolboy_Facination,reverb_l1,reverb,1,5.830670120392939,5.604187629039078
demucs,Al_James_-_Schoolboy_Facination,reverb_l2,reverb,2,4.398342167804992,2.139811327141882
spleeter,Al_James_-_Schoolboy_Facination,reverb_l2,reverb,2,3.6050905115081866,1.7972013090902703
demucs,Al_James_-_Schoolboy_Facination,reverb_l3,reverb,3,3.4298708142051746,-0.6219365029838594
spleeter,Al_James_-_Schoolboy_Facination,reverb_l3,reverb,3,2.692831825718256,-0.6624462172687989
demucs,Al_James_-_Schoolboy_Facination,reverb_l4,reverb,4,3.2465796564404528,-1.4018418951657676
spleeter,Al_James_-_Schoolboy_Facination,reverb_l4,reverb,4,2.6164418241212797,-1.3583496397113228
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,10.496435388140794,8.708101605903325
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,9.041145827736315,8.003310170584113
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,10.50721646403183,8.718443735658244
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,9.039640407299634,8.00307933058538
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,10.472883602390997,8.694952177591983
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,9.017118343104723,7.997680945480974
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,10.040785038085499,8.632369602024486
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,8.721846623096356,7.949936276800923
demucs,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,11.301610116094675,11.04341779170545
spleeter,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,9.596181616068622,9.50639233605102
demucs,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,11.026573678939132,8.998205532124759
spleeter,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,9.147164017366517,7.91533135086667
demucs,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,10.960978421186109,7.289582197907322
spleeter,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,9.011436858998106,6.507545781732842
demucs,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,11.222800301974214,6.639046399754861
spleeter,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,9.229521380980925,5.969948798896226
demucs,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,10.799935452652903,7.14971799345327
spleeter,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,9.199753194078347,6.243809828561018
demucs,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,9.580021510990239,5.563221959609553
spleeter,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,8.35753348271337,4.662068321484175
demucs,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,8.10180668139989,4.542328189399249
spleeter,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,7.527219067167845,3.892565341335991
demucs,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,7.302665324358574,3.7602902145597437
