song,condition,vocal_rms_db_raw,vocal_rms_db_after_effect,rms_match_gain_db,mix_scale_db,mix_peak
AM_Contra_-_Heart_Peripheral,original,-24.63,-24.63,0.0,0.0,0.9958
AM_Contra_-_Heart_Peripheral,reverb_l1,-24.63,-25.7,1.06,0.0,0.9801
AM_Contra_-_Heart_Peripheral,reverb_l2,-24.63,-24.97,0.34,0.0,0.8959
AM_Contra_-_Heart_Peripheral,reverb_l3,-24.63,-20.85,-3.78,0.0,0.9749
AM_Contra_-_Heart_Peripheral,reverb_l4,-24.63,-16.57,-8.06,0.0,0.9875
AM_Contra_-_Heart_Peripheral,delay_l2,-24.63,-23.41,-1.22,0.0,0.9622
AM_Contra_-_Heart_Peripheral,delay_l3,-24.63,-22.94,-1.69,0.0,0.9304
AM_Contra_-_Heart_Peripheral,delay_l4,-24.63,-22.43,-2.21,0.0,0.9365
AM_Contra_-_Heart_Peripheral,bitcrush_l4,-24.63,-24.57,-0.06,0.0,0.9865
AM_Contra_-_Heart_Peripheral,compression_l1,-24.63,-26.48,1.85,0.0,0.9679
AM_Contra_-_Heart_Peripheral,compression_l2,-24.63,-29.87,5.24,0.0,0.9286
AM_Contra_-_Heart_Peripheral,compression_l3,-24.63,-30.08,5.45,0.0,0.9118
AM_Contra_-_Heart_Peripheral,compression_l4,-24.63,-31.71,7.08,0.0,0.9581
Al_James_-_Schoolboy_Facination,original,-22.8,-22.8,0.0,0.0,0.9926
Al_James_-_Schoolboy_Facination,delay_l2,-22.8,-21.6,-1.19,0.0,0.976
Al_James_-_Schoolboy_Facination,delay_l3,-22.8,-21.11,-1.68,0.0,0.8884
Al_James_-_Schoolboy_Facination,delay_l4,-22.8,-20.65,-2.15,0.0,0.9213
Al_James_-_Schoolboy_Facination,bitcrush_l1,-22.8,-22.8,0.0,0.0,0.9616
Al_James_-_Schoolboy_Facination,bitcrush_l2,-22.8,-22.8,0.0,0.0,0.9625
Al_James_-_Schoolboy_Facination,bitcrush_l3,-22.8,-22.79,-0.0,0.0,0.9644
Al_James_-_Schoolboy_Facination,bitcrush_l4,-22.8,-22.74,-0.05,0.0,0.963
Al_James_-_Schoolboy_Facination,compression_l1,-22.8,-24.86,2.07,0.0,0.9701
