model,song,condition,effect,level,stem,sdr,si_sdr,delta_sdr,delta_si_sdr
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,vocals,9.041145827736315,8.497895529892435,-0.746328665949342,-0.8592106011546008
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,drums,5.111689238769092,3.6634419429507235,-0.05509523720064635,-0.05485300586052988
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,bass,-1.0563099351005902,-5.436460526004448,-0.008233729055138417,-0.08955733024999102
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,other,0.6993620868699397,-7.503567725108052,-0.03231138853129889,-0.18086514395814834
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,vocals,9.039640407299634,8.49596068362261,-0.7478340863860229,-0.8611454474244269
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,drums,5.109729172922038,3.661559375097394,-0.0570553030476999,-0.05673557371385929
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,bass,-1.0562038470049286,-5.441060733237678,-0.008127640959476823,-0.09415753748322064
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,other,0.6999218943338341,-7.499742046872907,-0.0317515810674045,-0.177039465723003
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,vocals,9.017118343104723,8.469774557941651,-0.770356150580934,-0.887331573105385
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,drums,5.104665205861842,3.6542373919564186,-0.062119270107896085,-0.06405755685483472
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,bass,-1.0589970586824067,-5.441570077066426,-0.010920852636954859,-0.09466688131196843
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,other,0.6987288622177468,-7.504181799914682,-0.032944613183491844,-0.18147921876477824
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,vocals,8.721846623096356,8.122583293640982,-1.0656278705893012,-1.234522837406054
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,drums,5.096161903765802,3.6249176820940328,-0.07062257220393597,-0.09337726671722058
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,bass,-1.0232421461100285,-5.327750784529421,0.024834059935423314,0.019152411225036303
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,other,0.6976060565805218,-7.456089542413488,-0.034067418820716844,-0.13338696126358407
spleeter,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,vocals,9.596181616068622,9.145760856411174,-0.19129287761703573,-0.21134527463586217
spleeter,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,drums,5.157932647826371,3.703308684104716,-0.008851828143367158,-0.014986264706537522
spleeter,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,bass,-1.0449954842759037,-5.309005781570894,0.0030807217695481004,0.03789741418356307
spleeter,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,other,0.7339295084330746,-7.312693100040004,0.002256033031835969,0.010009481109899632
spleeter,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,vocals,9.147164017366517,8.64271765076593,-0.6403104763191401,-0.7143884802811069
spleeter,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,drums,5.147876770525852,3.676484493828605,-0.01890770544388598,-0.04181045498264835
spleeter,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,bass,-1.0507672691707794,-5.24646913938711,-0.0026910631253276307,0.10043405636734715
spleeter,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,other,0.7276229379042775,-7.349967905086729,-0.00405053749696116,-0.027265323936824792
spleeter,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,vocals,9.011436858998106,8.492793762662695,-0.776037634687551,-0.8643123683843417
spleeter,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,drums,5.163187884851794,3.6876326041936998,-0.0035965911179438592,-0.030662344617553572
spleeter,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,bass,-1.0522901616703653,-5.216691491181768,-0.004213955624913446,0.13021170457268916
spleeter,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,other,0.7368921651906163,-7.297174598524018,0.005218689789377673,0.025527982625885848
spleeter,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,vocals,9.229521380980925,8.739424428143291,-0.5579531127047321,-0.6176817029037451
spleeter,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,drums,5.194446218478691,3.7290721416112484,0.027661742508953147,0.010777192799995117
spleeter,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,bass,-1.0613229578710073,-5.1987049673015875,-0.013246751825555458,0.14819822845286978
spleeter,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,other,0.7321150205031334,-7.32712569897915,0.00044154510189475804,-0.004423117829245982
spleeter,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,vocals,9.199753194078347,8.663846058736134,-0.5877212996073098,-0.6932600723109026
spleeter,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,drums,5.1898862760463,3.718143440710015,0.02310180007656193,-0.0001515081012382069
spleeter,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,bass,-1.0965085179679903,-4.9590626829372155,-0.048432311922538496,0.38784051281724174
spleeter,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,other,0.6361061487488585,-7.886051512762668,-0.0955673266523801,-0.5633489316127642
spleeter,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,vocals,8.35753348271337,7.680547043943924,-1.4299410109722874,-1.6765590871031124
spleeter,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,drums,5.266897296323636,3.794731352077534,0.1001128203538979,0.07643640326628054
spleeter,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,bass,-1.0697596919689103,-4.763535307878803,-0.02168348592345848,0.5833678878756539
spleeter,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,other,0.5402835811521496,-8.426238966092306,-0.19138989424908903,-1.1035363849424025
spleeter,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,vocals,7.527219067167845,6.68490378379296,-2.260255426517812,-2.6722023472540766
spleeter,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,drums,5.1670714970626985,3.6736435896999353,0.00028702109296041556,-0.04465135911131801
spleeter,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,bass,-1.057173503469113,-4.9134184868274735,-0.009097297423661166,0.43348470892698376
spleeter,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,other,0.38737954952861187,-9.0992412228788,-0.34429392587262675,-1.776538641728897
spleeter,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,vocals,6.691260328211021,5.654921358850996,-3.0962141654746365,-3.7021847721960404
spleeter,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,drums,5.106523440559187,3.6008643898124664,-0.0602610354105515,-0.11743055899878696
spleeter,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,bass,-0.9518904784813189,-4.9319244916281715,0.0961857275641329,0.4149787041262858
spleeter,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,other,0.3202040578502649,-9.086700718287059,-0.4114694175509737,-1.763998137137155
spleeter,AM_Contra_-_Heart_Peripheral,original,original,0,vocals,9.787474493685657,9.357106131047036,0.0,0.0
spleeter,AM_Contra_-_Heart_Peripheral,original,original,0,drums,5.166784475969738,3.7182949488112533,0.0,0.0
spleeter,AM_Contra_-_Heart_Peripheral,original,original,0,bass,-1.0480762060454518,-5.346903195754457,0.0,0.0
spleeter,AM_Contra_-_Heart_Peripheral,original,original,0,other,0.7316734754012386,-7.322702581149904,0.0,0.0
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,vocals,9.491155082618024,9.008877333852402,-0.2963194110676337,-0.3482287971946345
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,drums,5.221319828255404,3.764959318334421,0.05453535228566597,0.04666436952316788
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,bass,-1.0812961295591321,-5.051787389306217,-0.033219923513680305,0.29511580644824065
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,other,0.6710344705043175,-7.700101619483264,-0.06063900489692109,-0.3773990383333601
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,vocals,8.32516358733826,7.637704029134671,-1.4623109063473976,-1.7194021019123653
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,drums,5.201753917092155,3.7196335938341694,0.034969441122417066,0.0013386450229160296
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,bass,-1.1436979045893558,-4.939288176283558,-0.09562169854390401,0.4076150194708994
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,other,0.5060130491655157,-8.562022167911792,-0.2256604262357229,-1.239319586761888
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,vocals,8.241042087364713,7.537496724425457,-1.5464324063209443,-1.8196094066215789
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,drums,5.362484644155635,3.930560022965905,0.19570016818589675,0.21226507415465168
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,bass,-1.0224224353327052,-4.68878483609975,0.02565377071274666,0.6581183596547069
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,other,0.5343161469486617,-8.304605916703409,-0.19735732845257692,-0.981903335553505
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,vocals,8.43205021108006,7.761679789816868,-1.3554242826055969,-1.5954263412301684
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,drums,5.386014104514044,3.963718436309695,0.21922962854430583,0.24542348749844178
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,bass,-1.01281094242318,-4.69102252586237,0.03526526362227189,0.6558806698920874
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,other,0.560068158372271,-8.184193318803839,-0.17160531702896764,-0.8614907376539351
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,vocals,10.496435388140794,10.091282155757021,-0.9380902870038117,-1.0212607945274783
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,drums,8.230909995902087,7.530877776001547,-0.10084323755682867,-0.11741851537230996
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,bass,-1.2779339523926327,-3.0370721534385408,0.000187028630126429,-0.010580586790738256
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l1,bitcrush,1,other,0.4459306007278377,-9.578011265113819,-0.037028328450698755,-0.3003929735228752
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,vocals,10.50721646403183,10.102902121998039,-0.9273092111127763,-1.0096408282864608
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,drums,8.188559438434805,7.4806684198034725,-0.14319379502411067,-0.16762787157038428
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,bass,-1.2975910575175884,-3.0361321707783615,-0.019470076494829236,-0.009640604130559005
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l2,bitcrush,2,other,0.4496532850036251,-9.54371220798256,-0.03330564417491133,-0.2660939163916165
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,vocals,10.472883602390997,10.065493360480449,-0.9616420727536088,-1.0470495898040504
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,drums,8.170898017528952,7.45743263311259,-0.16085521592996344,-0.19086365826126706
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,bass,-1.277233594135552,-2.984744020246805,0.0008873868872072421,0.041747546400997315
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,other,0.42325140493443436,-9.72874911309746,-0.059707524244102084,-0.45113082150651707
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,vocals,10.040785038085499,9.589104702533279,-1.393740637059107,-1.523438247751221
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,drums,8.112613901650146,7.3926088094302544,-0.2191393318087691,-0.25568748194360236
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,bass,-1.2768114496794376,-3.049831153852893,0.0013095313433215683,-0.02333958720509033
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,other,0.4212721468127172,-9.751973341751015,-0.06168678236581926,-0.47435505016007085
demucs,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,vocals,11.301610116094675,10.97287220179291,-0.13291555904993047,-0.13967074849158934
demucs,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,drums,8.358885182510807,7.680897083994076,0.02713194905189198,0.032600792620218755
demucs,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,bass,-1.2726101634173221,-3.0024188642448886,0.005510817605437035,0.024072702402913926
demucs,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,other,0.47803370651828914,-9.334401581013458,-0.004925222660247308,-0.05678328942251376
demucs,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,vocals,11.026573678939132,10.67576128878889,-0.4079519962054743,-0.43678166149561015
demucs,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,drums,8.25173440459966,7.554340742726449,-0.08001882885925582,-0.09395554864740774
demucs,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,bass,-1.2619248282383213,-2.965054351272363,0.016196152784437867,0.06143721537543945
demucs,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,other,0.4699981450332864,-9.397399707504324,-0.012960784145250037,-0.11978141591337987
demucs,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,vocals,10.960978421186109,10.606773097528572,-0.47354725395849684,-0.5057698527559271
demucs,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,drums,8.216474253623423,7.512135085712695,-0.11527897983549273,-0.1361612056611614
demucs,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,bass,-1.2767423777788476,-3.0127251431787343,0.0013786032439115914,0.0137664234690682
demucs,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,other,0.46250004197339956,-9.473748216835894,-0.02045888720513689,-0.19612992524495
demucs,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,vocals,11.222800301974214,10.890008247586616,-0.21172537317039186,-0.22253470269788345
demucs,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,drums,8.277909049004391,7.586568860424863,-0.053844184454524324,-0.06172743094899413
demucs,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,bass,-1.312070228163492,-3.023006218472937,-0.033949247140732774,0.0034853481748653437
demucs,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,other,0.4593817931955166,-9.51579009828521,-0.02357713598301986,-0.2381718066942664
demucs,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,vocals,10.799935452652903,10.422973864485174,-0.6345902224917026,-0.6895690857993255
demucs,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,drums,8.336057823270584,7.654998663670285,0.004304589811669146,0.006702372296428116
demucs,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,bass,-1.2814938925415782,-3.048250415811336,-0.0033729115188190217,-0.021758849163533434
demucs,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,other,0.4867183583785461,-9.251618650636033,0.0037594292000096563,0.02599964095491103
demucs,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,vocals,9.580021510990239,9.11022487670561,-1.854504164154367,-2.0023180735788895
demucs,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,drums,8.325128575123276,7.64070226890497,-0.0066246583356388555,-0.007594022468886408
demucs,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,bass,-1.2144574774475294,-2.883842558255603,0.06366350357522976,0.1426490083921994
demucs,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,other,0.4133328682964605,-9.762300757814959,-0.06962606088207596,-0.48468246622401523
demucs,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,vocals,8.10180668139989,7.489339691283138,-3.3327189937447166,-3.623203259001362
demucs,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,drums,8.18764867219736,7.478119659243351,-0.14410456126155502,-0.17017663213050582
demucs,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,bass,-1.2313892299172948,-2.9201183440669247,0.04673175110546435,0.10637322258087778
demucs,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,other,0.2588155585706153,-10.677022832208179,-0.22414337060792117,-1.399404540617235
demucs,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,vocals,7.302665324358574,6.524215729377863,-4.131860350786032,-4.588327220906637
demucs,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,drums,8.089174570881998,7.362657198694799,-0.24257866257691774,-0.28563909267905796
