model,effect,level,n_songs,median_dSDR,ci95_lo,ci95_hi,mean_dSDR,pct_songs_worse_than_1dB,wilcoxon_p_less
demucs,bitcrush,1,50,-0.30387902400874633,-0.3893770750418857,-0.2542867435009075,-0.41774119618673,8.0,1.687538997430238e-14
demucs,bitcrush,2,50,-0.33188076328077276,-0.38777497001047945,-0.2340947434396456,-0.40952163981281364,8.0,2.1094237467877974e-12
demucs,bitcrush,3,50,-0.35949957064041094,-0.4477820565315866,-0.2412216167598311,-0.4074367270943112,8.0,1.497202362088501e-11
demucs,bitcrush,4,50,-0.6467276587014776,-0.7648536972416995,-0.5600991370038155,-0.7287277955016568,20.0,1.7763568394002505e-15
demucs,compression,1,50,-0.130691196922295,-0.1757739394999844,-0.108534567986402,-0.18875569129556588,2.0,4.5255783120978776e-08
demucs,compression,2,50,-0.44637634440100893,-0.5611239102609344,-0.31033804488629757,-0.44740234572291226,12.0,1.1225920637514264e-08
demucs,compression,3,50,-0.5596013461538281,-0.8559463568145258,-0.41456281083401186,-0.6827356927778857,24.0,1.2613377009529358e-10
demucs,compression,4,50,-0.6184344119822538,-0.8114337068760289,-0.3010501799543981,-0.699375681439557,26.0,2.6550397436153617e-09
demucs,delay,1,50,-0.5210810997724913,-0.59151782338974,-0.4060550222367647,-0.61934548758768,8.0,8.881784197001252e-16
demucs,delay,2,50,-1.2047050786488547,-1.4691841983575986,-1.0150291028945118,-1.3133511712986898,66.0,8.881784197001252e-16
demucs,delay,3,50,-1.7931284297013148,-2.0062145543678476,-1.5625207563473993,-1.7476785823842413,86.0,2.1903368008224788e-11
demucs,delay,4,50,-2.3079297855381493,-2.6315294327251664,-2.080996766713768,-2.2669328207949517,94.0,4.760636329592671e-13
demucs,reverb,1,50,-0.5541984157827327,-0.7087102922613848,-0.4370644546458724,-0.6228463096759976,20.0,2.8051339029389055e-11
demucs,reverb,2,50,-2.1333150883215373,-2.5268380375018573,-1.8145567716548894,-2.670392416072844,92.0,3.8191672047105385e-14
demucs,reverb,3,50,-2.8519138287309627,-3.4055712571354997,-2.2987669813946483,-3.3905125364741475,96.0,1.7763568394002505e-15
demucs,reverb,4,50,-3.080830557483874,-3.647376837422133,-2.3518053032988835,-3.4412149105908134,94.0,1.687538997430238e-14
spleeter,bitcrush,1,50,-0.47892969070969865,-0.582191133611702,-0.3607332355716031,-0.5079373314288796,4.0,8.881784197001252e-16
spleeter,bitcrush,2,50,-0.4804206018770629,-0.5808131779749384,-0.3717156426547188,-0.5099740992699117,4.0,8.881784197001252e-16
spleeter,bitcrush,3,50,-0.49128218658152134,-0.5954749989798529,-0.3574317698210558,-0.5203390854262332,4.0,8.881784197001252e-16
spleeter,bitcrush,4,50,-0.6865410592294414,-0.8588102612239474,-0.552939807481919,-0.7156750035611423,18.0,8.881784197001252e-16
spleeter,compression,1,50,-0.14844358006532804,-0.1912928776170357,-0.12467382486085295,-0.17917151792383365,0.0,4.760636329592671e-13
spleeter,compression,2,50,-0.4914943889585972,-0.6474232253485486,-0.40481099280336824,-0.5422901474824255,10.0,2.930988785010413e-14
spleeter,compression,3,50,-0.7536276553299954,-0.8966093146506888,-0.6051068638574328,-0.7972929833144015,30.0,1.687538997430238e-14
spleeter,compression,4,50,-0.7887994908791205,-1.005280516970477,-0.6305500973829776,-0.9173413682475013,36.0,1.7763568394002505e-15
spleeter,delay,1,50,-0.2945131565145678,-0.3805570131133163,-0.2433755093881868,-0.3114917111170828,2.0,9.769962616701378e-14
spleeter,delay,2,50,-0.7837557821860424,-1.0035401381629967,-0.6998208877602359,-0.8572700817817551,38.0,8.881784197001252e-16
spleeter,delay,3,50,-1.503150398855687,-1.660717743294617,-1.2655482415361172,-1.4970552960084993,82.0,8.881784197001252e-16
spleeter,delay,4,50,-1.9216668625869207,-2.222995654346769,-1.7924720217745098,-1.9791015287764202,92.0,8.881784197001252e-16
spleeter,reverb,1,50,-0.3579604030091015,-0.417244967458803,-0.2620865631101461,-0.5018753293575109,10.0,5.863753926860227e-12
spleeter,reverb,2,50,-1.6020866947912804,-1.9128045918737286,-1.322265654618775,-2.0489198344950905,78.0,1.7763568394002505e-15
spleeter,reverb,3,50,-2.106828914369592,-2.6067570102435456,-1.5131928032249857,-2.524542878972295,86.0,8.881784197001252e-16
spleeter,reverb,4,50,-2.0928173030635766,-2.6818773452683238,-1.455064947243684,-2.5188304210263404,84.0,8.881784197001252e-16
