model,effect,level,sdr_wet,sdr_dry,gap
demucs,bitcrush,1,8.27,5.84,-2.43
demucs,bitcrush,2,8.28,5.85,-2.43
demucs,bitcrush,3,8.28,5.87,-2.41
demucs,bitcrush,4,7.96,5.78,-2.18
demucs,compression,1,8.5,8.42,-0.08
demucs,compression,2,8.24,6.97,-1.27
demucs,compression,3,8.01,5.73,-2.28
demucs,compression,4,7.99,5.21,-2.77
demucs,delay,1,8.07,5.65,-2.42
demucs,delay,2,7.37,4.33,-3.04
demucs,delay,3,6.94,3.62,-3.32
demucs,delay,4,6.42,3.03,-3.39
demucs,original,0,8.69,8.69,-0.0
demucs,reverb,1,8.07,6.97,-1.1
demucs,reverb,2,6.02,1.72,-4.29
demucs,reverb,3,5.3,-1.08,-6.38
demucs,reverb,4,5.25,-1.8,-7.05
spleeter,bitcrush,1,6.25,5.08,-1.17
spleeter,bitcrush,2,6.25,5.08,-1.17
spleeter,bitcrush,3,6.24,5.08,-1.16
spleeter,bitcrush,4,6.04,5.01,-1.03
spleeter,compression,1,6.58,6.65,0.08
spleeter,compression,2,6.21,5.64,-0.58
spleeter,compression,3,5.96,4.73,-1.23
spleeter,compression,4,5.84,4.26,-1.58
spleeter,delay,1,6.45,4.64,-1.81
spleeter,delay,2,5.9,3.58,-2.32
spleeter,delay,3,5.26,2.9,-2.36
spleeter,delay,4,4.78,2.49,-2.29
spleeter,original,0,6.76,6.76,-0.0
spleeter,reverb,1,6.25,5.56,-0.69
spleeter,reverb,2,4.71,1.25,-3.46
spleeter,reverb,3,4.23,-1.15,-5.39
spleeter,reverb,4,4.24,-1.85,-6.09
